"CustomerKey","GeographyKey","CustomerAlternateKey","Title","FirstName","MiddleName","LastName","NameStyle","BirthDate","MaritalStatus","Suffix","Gender","EmailAddress","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","SpanishEducation","FrenchEducation","EnglishOccupation","SpanishOccupation","FrenchOccupation","HouseOwnerFlag","NumberCarsOwned","AddressLine1","AddressLine2","Phone","DateFirstPurchase","CommuteDistance"
"22999","335","AW00022999","","Jackson","D","Hill","False","1968-10-06","M","","M","jackson43@adventure-works.com","80000","0","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","1","2680 Woodside Way","","315-555-0175","2008-02-02","1-2 Miles"
"23000","542","AW00023000","","Victoria","M","Henderson","False","1967-06-12","M","","F","victoria52@adventure-works.com","110000","0","1","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","1","6358 Parkview Court","","848-555-0182","2008-07-16","10+ Miles"
"23001","536","AW00023001","","Julio","","Munoz","False","1967-01-24","S","","M","julio7@adventure-works.com","120000","0","1","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","0","4","5626 Mt. View Drive","","982-555-0119","2008-04-09","1-2 Miles"
"23002","609","AW00023002","","Arthur","W","Hernandez","False","1968-03-03","S","","M","arthur27@adventure-works.com","90000","4","4","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","3","1430 N. Civic Drive","","834-555-0119","2007-10-14","1-2 Miles"
"23003","546","AW00023003","","Ashley","H","Robinson","False","1968-05-27","S","","F","ashley19@adventure-works.com","100000","2","0","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","0","3","6526 Creed Ave","","794-555-0140","2007-10-24","1-2 Miles"
"23004","302","AW00023004","","Raymond","","Fernandez","False","1968-08-09","M","","M","raymond16@adventure-works.com","130000","1","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","3","2914 St. George Dr.","","189-555-0163","2008-05-02","0-1 Miles"
"23005","547","AW00023005","","Luke","","Sharma","False","1979-11-21","M","","M","luke19@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","9073 String Drive","","777-555-0198","2007-10-22","1-2 Miles"
"23006","315","AW00023006","","Seth","C","Lee","False","1979-03-26","M","","M","seth21@adventure-works.com","30000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","3720 Santa Maria","","773-555-0124","2008-05-02","5-10 Miles"
"23007","331","AW00023007","","Isaac","","Sanchez","False","1979-11-04","S","","M","isaac17@adventure-works.com","30000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","1068 N Sweetbriar Court","","119-555-0113","2007-10-08","5-10 Miles"
"23008","26","AW00023008","","Sheena","R","She","False","1944-12-07","M","","F","sheena0@adventure-works.com","20000","4","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","7194 Fourth St.","","1 (11) 500 555-0169","2007-11-17","5-10 Miles"
"23009","49","AW00023009","","Dalton","","Thomas","False","1978-03-16","M","","M","dalton10@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","1431 Rancho View Drive","# 14","114-555-0191","2008-06-08","5-10 Miles"
"23010","66","AW00023010","","Seth","","Cook","False","1978-03-16","S","","M","seth83@adventure-works.com","40000","0","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","7352 Mt. Wilson Pl.","","157-555-0117","2008-05-02","5-10 Miles"
