CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11000,26,AW00011000,,Jon,V,Yang,FALSE,4/8/1966,M,,M,jon24@adventure-works.com,90000,4,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,0,3761 N. 14th St,,1 (11) 500 555-0162,7/22/2005,1-2 Miles
11001,37,AW00011001,,Eugene,L,Huang,FALSE,5/14/1965,S,,M,eugene10@adventure-works.com,60000,2,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,2243 W St.,,1 (11) 500 555-0110,7/18/2005,0-1 Miles
11002,31,AW00011002,,Ruben,,Torres,FALSE,8/12/1965,M,,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,5844 Linden Land,,1 (11) 500 555-0184,7/10/2005,2-5 Miles
11003,11,AW00011003,,Christy,,Zhu,FALSE,2/15/1968,S,,F,christy12@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,1825 Village Pl.,,1 (11) 500 555-0162,7/1/2005,5-10 Miles
11004,19,AW00011004,,Elizabeth,,Johnson,FALSE,8/8/1968,S,,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,7553 Harness Circle,,1 (11) 500 555-0131,7/26/2005,1-2 Miles
11005,22,AW00011005,,Julio,,Ruiz,FALSE,8/5/1965,S,,M,julio1@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,7/2/2005,5-10 Miles
11006,8,AW00011006,,Janet,G,Alvarez,FALSE,12/6/1965,S,,F,janet9@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,2612 Berry Dr,,1 (11) 500 555-0184,7/27/2005,5-10 Miles
11007,40,AW00011007,,Marco,,Mehta,FALSE,5/9/1964,M,,M,marco14@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,942 Brook Street,,1 (11) 500 555-0126,7/12/2005,0-1 Miles
11008,32,AW00011008,,Rob,,Verhoff,FALSE,7/7/1964,S,,F,rob4@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,3,624 Peabody Road,,1 (11) 500 555-0164,7/28/2005,10+ Miles
11009,25,AW00011009,,Shannon,C,Carlson,FALSE,4/1/1964,S,,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,3839 Northgate Road,,1 (11) 500 555-0110,7/30/2005,5-10 Miles
11010,22,AW00011010,,Jacquelyn,C,Suarez,FALSE,2/6/1964,S,,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,7/17/2005,5-10 Miles
11011,22,AW00011011,,Curtis,,Lu,FALSE,11/4/1963,M,,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,1224 Shoenic,,1 (11) 500 555-0117,7/2/2005,10+ Miles
11012,611,AW00011012,,Lauren,M,Walker,FALSE,1/18/1968,M,,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4785 Scott Street,,717-555-0164,9/17/2007,1-2 Miles
11013,543,AW00011013,,Ian,M,Jenkins,FALSE,8/6/1968,M,,M,ian47@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7902 Hudson Ave.,,817-555-0185,10/15/2007,0-1 Miles
11014,634,AW00011014,,Sydney,,Bennett,FALSE,5/9/1968,S,,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,3,9011 Tank Drive,,431-555-0156,9/24/2007,1-2 Miles
11015,301,AW00011015,,Chloe,,Young,FALSE,2/27/1979,S,,F,chloe23@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,244 Willow Pass Road,,208-555-0142,7/22/2007,5-10 Miles
11016,329,AW00011016,,Wyatt,L,Hill,FALSE,4/28/1979,M,,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,9666 Northridge Ct.,,135-555-0171,8/13/2007,5-10 Miles
11017,39,AW00011017,,Shannon,,Wang,FALSE,6/26/1944,S,,F,shannon1@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,7/15/2005,5-10 Miles
11018,32,AW00011018,,Clarence,D,Rai,FALSE,10/9/1944,S,,M,clarence32@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,244 Rivewview,,1 (11) 500 555-0137,7/20/2005,5-10 Miles
11019,52,AW00011019,,Luke,L,Lal,FALSE,3/7/1978,S,,M,luke18@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7832 Landing Dr,,262-555-0112,8/16/2007,5-10 Miles
11020,53,AW00011020,,Jordan,C,King,FALSE,9/20/1978,S,,M,jordan73@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7156 Rose Dr.,,550-555-0163,7/2/2007,1-2 Miles
11021,536,AW00011021,,Destiny,,Wilson,FALSE,9/3/1978,S,,F,destiny7@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,8148 W. Lake Dr.,,622-555-0158,7/27/2007,1-2 Miles
11022,609,AW00011022,,Ethan,G,Zhang,FALSE,10/12/1978,M,,M,ethan20@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,1769 Nicholas Drive,,589-555-0185,7/24/2007,5-10 Miles
11023,298,AW00011023,,Seth,M,Edwards,FALSE,10/11/1978,M,,M,seth46@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,4499 Valley Crest,,452-555-0188,8/21/2007,1-2 Miles
11024,311,AW00011024,,Russell,,Xie,FALSE,9/17/1978,M,,M,russell7@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8734 Oxford Place,,746-555-0186,12/29/2007,5-10 Miles
11025,24,AW00011025,,Alejandro,,Beck,FALSE,12/23/1945,M,,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,7/9/2005,1-2 Miles
11026,4,AW00011026,,Harold,,Sai,FALSE,4/3/1946,S,,M,harold3@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,7/26/2005,1-2 Miles
11027,40,AW00011027,,Jessie,R,Zhao,FALSE,12/7/1946,M,,M,jessie16@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,213 Valencia Place,,1 (11) 500 555-0184,7/19/2005,5-10 Miles
11028,17,AW00011028,,Jill,,Jimenez,FALSE,4/11/1946,M,,F,jill13@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,7/29/2005,1-2 Miles
11029,32,AW00011029,,Jimmy,L,Moreno,FALSE,12/21/1946,M,,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,6385 Mark Twain,,1 (11) 500 555-0146,7/22/2005,1-2 Miles
11030,28,AW00011030,,Bethany,G,Yuan,FALSE,2/22/1947,M,,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,8/8/2005,1-2 Miles
11031,8,AW00011031,,Theresa,G,Ramos,FALSE,8/22/1947,M,,F,theresa13@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,8/4/2005,1-2 Miles
11032,35,AW00011032,,Denise,,Stone,FALSE,6/11/1947,M,,F,denise10@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,626 Bentley Street,,1 (11) 500 555-0169,8/21/2005,1-2 Miles
11033,9,AW00011033,,Jaime,,Nath,FALSE,9/23/1947,M,,M,jaime41@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5927 Rainbow Dr,,1 (11) 500 555-0137,8/18/2005,5-10 Miles
11034,12,AW00011034,,Ebony,,Gonzalez,FALSE,6/19/1947,M,,F,ebony19@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5167 Condor Place,,1 (11) 500 555-0136,8/4/2005,5-10 Miles
11035,33,AW00011035,,Wendy,,Dominguez,FALSE,2/24/1948,M,,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177,8/9/2005,1-2 Miles
11036,343,AW00011036,,Jennifer,C,Russell,FALSE,12/18/1978,M,,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3981 Augustine Drive,,115-555-0183,7/26/2007,1-2 Miles
11037,49,AW00011037,,Chloe,M,Garcia,FALSE,11/27/1977,S,,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,8915 Woodside Way,,229-555-0112,7/24/2007,5-10 Miles
11038,6,AW00011038,,Diana,F,Hernandez,FALSE,3/23/1948,M,,F,diana2@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114,8/10/2005,5-10 Miles
11039,19,AW00011039,,Marc,J,Martin,FALSE,12/17/1948,M,,M,marc3@adventure-works.com,30000,3,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9353 Creekside Dr.,,1 (11) 500 555-0183,8/10/2005,5-10 Miles
11040,642,AW00011040,,Jesse,,Murphy,FALSE,8/1/1977,M,,M,jesse15@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3350 Kingswood Circle,,961-555-0176,10/5/2007,1-2 Miles
11041,325,AW00011041,,Amanda,M,Carter,FALSE,10/16/1977,M,,F,amanda53@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5826 Escobar,,295-555-0145,7/18/2007,1-2 Miles
11042,338,AW00011042,,Megan,J,Sanchez,FALSE,6/13/1977,M,,F,megan28@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,1397 Paraiso Ct.,,404-555-0199,7/25/2007,0-1 Miles
11043,325,AW00011043,,Nathan,M,Simmons,FALSE,2/24/1976,M,,M,nathan11@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,1170 Shaw Rd,,296-555-0181,11/9/2007,5-10 Miles
11044,25,AW00011044,,Adam,L,Flores,FALSE,5/24/1949,M,,M,adam10@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6935 Candle Dr,,1 (11) 500 555-0163,8/31/2005,1-2 Miles
11045,8,AW00011045,,Leonard,G,Nara,FALSE,5/19/1950,S,,M,leonard18@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7466 La Vista Ave.,,1 (11) 500 555-0151,10/12/2007,1-2 Miles
